"56392,0","15,21"
56692,"14,4"
56791,"7,8"
56025,"20,7"
56531,"11,34"
51455,"7,2"
56195,"14,4"
18645,"16,38"
59376,"17,55"
56832,"9,46"
56160,"16,8"
56034,"31,2"
56139,"14,76"
57831,"9,0"
55309,"14,63"
55448,"18,85"
56693,"198,0"
56331,"128,52"
56691,"34,05"
55592,"9,3"
56392,"15,21"
56692,"14,4"
56791,"7,8"
56025,"20,7"
56531,"11,34"
51455,"7,2"
56195,"14,4"
18645,"16,38"
59376,"17,55"
56832,"9,46"
56160,"16,8"
56034,"31,2"
56139,"14,76"
57831,"9,0"
55309,"14,63"
55448,"18,85"
56693,"198,0"
56331,"128,52"
56691,"34,05"
55592,"9,3"
